Object Name;Object Classification;Epoch (TDB);Orbit Axis (AU);Orbit Eccentricity;Orbit Inclination (deg);Perihelion Argument (deg);Node Longitude (deg);Mean Anomoly (deg);Perihelion Distance (AU);Aphelion Distance (AU);Orbital Period (yr);Minimum Orbit Intersection Distance (AU);Orbital Reference;Asteroid Magnitude
264308 (1999 NA5);Amor Asteroid;57800;14.365;0.2485;4.277;3.188.666;2.621.593;1.281.238;10.795;1.79;1.72;0.0829;43;20.3
264357 (2000 AZ93);Aten Asteroid (Hazard);57800;0.7466;0.3602;85.789;80.313;2.774.305;3.551.541;0.4776;1.02;0.65;0.022;31;21
264993 (2003 DX10);Apollo Asteroid (Hazard);57800;13.756;0.4107;3.146;1.938.324;619.246;1.849.635;0.8105;1.94;1.61;0.0448;41;20.4
265032 (2003 OU);Apollo Asteroid;57800;23.039;0.7023;401.354;1.754.647;2.063.348;2.738.581;0.6859;3.92;3.5;0.3071;36;16.6
265187 (2003 YS117);Apollo Asteroid;57800;12.493;0.3303;295.592;3.220.369;3.004.286;20.522;0.8366;1.66;1.4;0.1253;56;18.2
265196 (2004 BW58);Apollo Asteroid (Hazard);57800;14.549;0.3787;152.075;3.017.671;1.326.819;1.955.031;0.9039;2.01;1.75;0.0384;56;18.6
265482 (2005 EE);Apollo Asteroid (Hazard);57800;11.291;0.3279;61.726;2.847.494;110.831;737.988;0.7589;1.5;1.2;0.0183;45;21.3
265661 (2005 UB);Apollo Asteroid;57800;18.959;0.7381;27.688;3.123;2.721.156;1.411.545;0.4964;3.3;2.61;0.4607;60;16.7
265962 (2006 CG);Amor Asteroid;57800;18.295;0.336;43.508;119.173;2.339.876;2.748.066;12.149;2.44;2.47;0.2228;40;19
267131 (2000 EK26);Apollo Asteroid (Hazard);57800;24.054;0.6592;156.367;3.054.389;1.265.368;222.205;0.8197;3.99;3.73;0.0003;37;18.2
267136 (2000 EF104);Apollo Asteroid;57800;11.476;0.4178;108.166;3.467.681;663.729;2.693;0.6681;1.63;1.23;0.1762;75;18.9
267221 (2001 AD2);Apollo Asteroid (Hazard);57800;10.391;0.6597;16.601;111.266;2.111.726;1.529.628;0.3536;1.72;1.06;0.0087;78;19.8
267223 (2001 DQ8);Apollo Asteroid;57800;18.425;0.9013;128.359;147.084;3.427.947;1.718.428;0.1818;3.5;2.5;0.1069;64;18.1
267270 (2001 RP17);Amor Asteroid;57800;26.355;0.5152;81.549;606.627;3.532.798;192.134;12.777;3.99;4.28;0.3185;66;18.2
267337 (2001 VK5);Apollo Asteroid (Hazard);57800;12.692;0.514;19.432;2.639.164;542.476;2.943.468;0.6168;1.92;1.43;0.0002;107;17.9
267494 (2002 JB9);Apollo Asteroid (Hazard);57800;27.174;0.7846;467.577;277.949;703.317;854.272;0.5854;4.85;4.48;0.0308;87;15.9
267720 (2003 CA);Apollo Asteroid (Hazard);57800;13.792;0.7197;211.553;2.347.525;1.262.312;2.819.947;0.3866;2.37;1.62;0.0494;53;18.9
267729 (2003 FC5);Apollo Asteroid (Hazard);57800;19.165;0.609;5.826;2.706.601;1.892.418;1.053.123;0.7493;3.08;2.65;0.0337;73;18.3
267759 (2003 MC7);Amor Asteroid;57800;13.737;0.1843;21.211;1.011.932;1.370.491;2.066.446;11.205;1.63;1.61;0.2366;77;18.8
267940 (2004 EM20);Apollo Asteroid;57800;11.055;0.5239;141.401;3.148.334;3.438.134;328.868;0.5264;1.68;1.16;0.0902;32;20.3
269690 (1996 RG3);Apollo Asteroid (Hazard);57800;20.002;0.6046;35.712;3.000.885;1.582.323;420.565;0.791;3.21;2.83;0.0026;50;18.4
271480 (2004 FX31);Apollo Asteroid;57800;12.608;0.4419;247.507;2.857.607;1.691.863;81.008;0.7037;1.82;1.42;0.0661;141;17.6
274138 (2008 FU6);Apollo Asteroid;57800;1.324;0.569;12.831;1.291.061;1.928.593;2.484.063;0.5707;2.08;1.52;0.1013;103;17.8
274855 (2009 RB4);Amor Asteroid;57800;16.387;0.3009;95.371;750.366;1.821.836;2.666.132;11.457;2.13;2.1;0.2107;118;18.5
275545 (1998 UN1);Amor Asteroid;57800;15.135;0.2207;324.277;87.698;2.178.826;3.547.723;11.794;1.85;1.86;0.3778;61;18.1
275558 (1999 RH33);Amor Asteroid;57800;15.512;0.1709;110.168;3.514.722;1.683.553;2.026.379;12.861;1.82;1.93;0.295;124;19
275611 (1999 XX262);Amor Asteroid;57800;15.329;0.1818;82.296;1.026.156;3.346.986;326.111;12.542;1.81;1.9;0.3107;140;18.1
275677 (2000 RS11);Apollo Asteroid (Hazard);57800;12.802;0.3205;170.971;3.016.587;1.722.024;40.907;0.8699;1.69;1.45;0.0085;101;19.1
275714 (2000 YH4);Apollo Asteroid;57800;14.895;0.4588;179.691;2.694.659;855.954;3.548.527;0.8062;2.17;1.82;0.0854;44;18.7
275792 (2001 QH142);Amor Asteroid;57800;15.274;0.2218;305.962;253.432;318.344;1.907.828;11.887;1.87;1.89;0.3461;51;18.4
275974 (2001 XD);Apollo Asteroid;57800;20.451;0.7958;113.121;2.326.666;640.217;949.794;0.4177;3.67;2.92;0.0644;81;18.5
275975 (2001 XF1);Apollo Asteroid;57800;14.789;0.4638;220.291;2.315.682;878.089;2.190.745;0.793;2.16;1.8;0.0902;28;19.2
275976 (2001 XV10);Apollo Asteroid;57800;22.048;0.5852;223.519;342.024;314.083;264.019;0.9147;3.5;3.27;0.0584;97;16.2
276033 (2002 AJ129);Apollo Asteroid (Hazard);57800;1.371;0.915;15.464;2.109.741;138.095;1.654.555;0.1165;2.63;1.61;0.0059;57;18.7
276049 (2002 CE26);Apollo Asteroid;57800;2.233;0.5608;472.919;2.280.548;161.909;2.509.941;0.9808;3.49;3.34;0.0982;152;16.8
276111 (2002 GM9);Amor Asteroid;57800;18.651;0.3493;173.195;2.737.325;441.483;2.205.659;12.137;2.52;2.55;0.3769;51;18.6
276392 (2002 XH4);Amor Asteroid;57800;16.083;0.2706;145.203;2.137.322;934.765;81.57;11.732;2.04;2.04;0.1842;57;19.4
276397 (2002 XA40);Amor Asteroid;57800;22.633;0.4817;44.516;665.426;3.008.617;997.903;1.173;3.35;3.41;0.1879;105;17.1
276409 (2002 YN2);Apollo Asteroid;57800;12.427;0.5871;502.635;384.619;2.907.022;130.744;0.5131;1.97;1.39;0.3425;35;18.5
276468 (2003 HQ32);Amor Asteroid;57800;19.787;0.3454;358.759;2.913.027;2.176.428;13.811;12.952;2.66;2.78;0.4791;49;17.9
276660 (2003 WB25);Amor Asteroid;57800;17.849;0.2884;297.926;2.109.215;2.599.881;1.753.698;12.701;2.3;2.38;0.3189;55;18.3
276703 (2004 BL11);Apollo Asteroid;57800;12.601;0.7499;9.81;1.769.126;1.424.624;1.832.477;0.3152;2.21;1.41;0.1311;45;19.2
276732 (2004 EV9);Apollo Asteroid;57800;14.711;0.7805;408.636;2.266.513;1.724.875;1.273.282;0.3228;2.62;1.78;0.1081;59;17.7
276770 (2004 HC);Aten Asteroid;57800;0.7891;0.5988;289.824;1.593.588;2.029.977;3.502.929;0.3166;1.26;0.7;0.093;28;19.8
276786 (2004 KD1);Amor Asteroid;57800;17.197;0.3303;101.242;98.833;2.715.123;2.313.396;11.517;2.29;2.26;0.1376;87;17.7
276891 (2004 RH340);Apollo Asteroid;57800;12.947;0.3814;261.116;3.353.998;515.664;1.653.687;0.8008;1.79;1.47;0.1599;18;19.4
277039 (2005 CF41);Apollo Asteroid;57800;16.484;0.586;158.793;2.087.462;1.322.129;142.596;0.6824;2.61;2.12;0.2071;41;18.5
277127 (2005 GW119);Amor Asteroid;57800;16.406;0.2333;2.882;2.427.987;1.711.097;108.164;12.579;2.02;2.1;0.2737;136;18.7
277142 (2005 LG8);Apollo Asteroid;57800;17.546;0.8276;266.468;1.936.946;211.369;3.133.522;0.3024;3.21;2.32;0.3109;56;16.8
277279 (2005 SA71);Amor Asteroid;57800;16.182;0.3677;202.073;283.705;443.056;2.154.916;10.232;2.21;2.06;0.2092;59;18.8
277473 (2005 WD1);Amor Asteroid;57800;21.998;0.4419;430.642;285.877;523.418;2.132.181;12.276;3.17;3.26;0.4972;58;16.9
277475 (2005 WK4);Apollo Asteroid (Hazard);57800;10.106;0.2374;98.433;740.561;1.381.421;2.470.243;0.7707;1.25;1.02;0.0042;88;20.1
277570 (2005 YP180);Apollo Asteroid (Hazard);57800;13.722;0.6173;41.115;922.779;2.890.511;3.598.252;0.5251;2.22;1.61;0.0165;46;19.3
277616 (2006 BN6);Apollo Asteroid;57800;25.639;0.6988;186.453;3.382.807;2.497.091;2.346.802;0.7723;4.36;4.11;0.182;83;17.4
277617 (2006 BT7);Apollo Asteroid;57800;1.522;0.633;161.567;3.425.056;298.617;1.992.159;0.5586;2.49;1.88;0.2526;32;18.3
277810 (2006 FV35);Apollo Asteroid;57800;10.013;0.3776;71.042;1.708.528;1.795.081;169.124;0.6233;1.38;1;0.1047;45;21.8
277830 (2006 HR29);Aten Asteroid;57800;0.9856;0.2639;95.408;2.126.071;2.325.594;116.152;0.7255;1.25;0.98;0.0942;65;20.7
277958 (2006 SP134);Apollo Asteroid;57800;20.505;0.7362;130.437;1.922.778;166.593;290.21;0.5409;3.56;2.94;0.2178;45;16.8
278327 (2007 HA59);Apollo Asteroid;57800;25.102;0.7265;546.828;175.449;57.164;2.571.607;0.6867;4.33;3.98;0.2844;42;15.3
278381 (2007 MR);Apollo Asteroid;57800;10.232;0.2589;58.275;2.176.363;1.727.802;239.378;0.7583;1.29;1.03;0.0694;29;21.9
279744 (1998 KM3);Apollo Asteroid (Hazard);57800;16.719;0.6112;46.588;85.146;2.631.906;2.005.185;0.65;2.69;2.16;0.0027;38;19.8
279816 (2000 JE5);Apollo Asteroid (Hazard);57800;12.383;0.4006;507.403;2.851.815;412.448;3.590.384;0.7422;1.73;1.38;0.0457;26;19.1
280136 (2002 OM4);Apollo Asteroid;57800;1.496;0.5629;553.176;281.215;1.430.711;615.299;0.654;2.34;1.83;0.2979;73;17.2
280244 (2002 WP11);Amor Asteroid;57800;21.266;0.4406;53.919;561.213;267.929;2.625.756;11.897;3.06;3.1;0.1957;70;18.1
280491 (2004 MO7);Apollo Asteroid;57800;11.048;0.4838;240.825;613.859;385.547;284.202;0.5703;1.64;1.16;0.0553;15;19
281070 (2006 OY10);Apollo Asteroid;57800;18.064;0.5744;356.327;924.306;2.340.435;992.139;0.7689;2.84;2.43;0.1356;34;18.7
281365 (2008 CM116);Apollo Asteroid;57800;1.631;0.6632;187.119;3.557.784;0.1349;2.407.405;0.5493;2.71;2.08;0.3151;68;17.5
281375 (2008 JV19);Aten Asteroid (Hazard);57800;0.9856;0.2484;72.246;3.105.265;1.419.916;902.057;0.7408;1.23;0.98;0.0417;105;20.8
283457 (2001 MQ3);Amor Asteroid;57800;22.344;0.455;55.713;250.348;3.134.494;2.271.476;12.178;3.25;3.34;0.2129;77;19.1
283460 (2001 PD1);Amor Asteroid;57800;22.353;0.4579;59.559;951.439;2.820.833;2.164.995;12.117;3.26;3.34;0.2424;88;18.3
283729 (2002 UX);Amor Asteroid;57800;14.735;0.1635;202.051;843.442;2.638.755;326.774;12.326;1.71;1.79;0.3509;62;17.9
284114 (2005 TZ51);Amor Asteroid;57800;21.253;0.4299;108.367;1.275.331;2.803.637;2.369.074;12.117;3.04;3.1;0.2687;134;17.9
284422 (2006 YD);Apollo Asteroid;57800;26.262;0.6932;77.311;3.520.566;2.233.914;1.221.509;0.8058;4.45;4.26;0.1052;38;17.4
285110 (1995 MA1);Amor Asteroid;57800;26.104;0.5873;258.392;2.658.737;876.526;123.245;10.772;4.14;4.22;0.3664;37;17.1
285179 (1996 TY11);Apollo Asteroid;57800;12.282;0.5355;139.316;1.587.011;306.547;2.178.882;0.5705;1.89;1.36;0.1977;36;19.3
285263 (1998 QE2);Amor Asteroid (Hazard);57800;24.233;0.5718;128.586;3.456.374;250.143;3.575.084;10.376;3.81;3.77;0.034;140;17.3
285331 (1999 FN53);Apollo Asteroid;57800;17.355;0.4557;201.639;1.916.753;50.599;2.737.624;0.9446;2.53;2.29;0.0576;95;18.3
285339 (1999 JR6);Apollo Asteroid;57800;13.665;0.6753;203.366;272.185;526.585;1.267.872;0.4438;2.29;1.6;0.2219;41;18.1
285540 (2000 GU127);Apollo Asteroid;57800;21.045;0.7269;84.887;1.388.157;1.719.768;1.594.671;0.5747;3.63;3.05;0.1082;42;18.5
285567 (2000 OM);Apollo Asteroid;57800;17.012;0.6409;135.835;739.036;1.235.897;2.005.527;0.6109;2.79;2.22;0.0532;21;18.6
285571 (2000 PQ9);Amor Asteroid;57800;19.038;0.4317;134.728;69.006;2.972.329;1.115.477;1.082;2.73;2.63;0.0684;22;18.1
285625 (2000 RD34);Amor Asteroid;57800;19.635;0.3469;69.299;132.021;3.090.517;3.019.061;12.824;2.64;2.75;0.3141;72;17.8
285638 (2000 SO10);Apollo Asteroid;57800;12.995;0.5403;369.688;2.039.974;3.564.444;1.570.217;0.5973;2;1.48;0.3658;42;17.5
285818 (2001 BZ39);Amor Asteroid;57800;19.877;0.4216;88.386;1.970.445;225.136;2.929.878;11.496;2.83;2.8;0.1667;53;18.7
285838 (2001 FA1);Amor Asteroid;57800;18.826;0.3598;338.098;3.267.653;1.757.837;703.428;12.053;2.56;2.58;0.2563;79;17.9
285944 (2001 RZ11);Amor Asteroid;57800;21.921;0.5066;530.725;3.404.785;3.240.419;2.829.041;10.815;3.3;3.25;0.0902;109;16.5
285990 (2001 SK9);Apollo Asteroid;57800;17.855;0.7891;259.812;345.083;1.957.881;2.083.396;0.3765;3.19;2.39;0.2202;39;18
286079 (2001 TW1);Aten Asteroid;57800;0.9113;0.526;313.296;2.087.926;273.656;3.237.912;0.4319;1.39;0.87;0.1494;60;19.2
286080 (2001 TX1);Apollo Asteroid (Hazard);57800;10.473;0.4826;27.997;3.541.448;1.592.123;322.152;0.5419;1.55;1.07;0.0423;20;21.1
288592 (2004 JW20);Aten Asteroid;57800;0.9528;0.5615;147.294;2.074.743;2.352.064;3.575.122;0.4178;1.49;0.93;0.0989;22;20.5
288807 (2004 RW164);Apollo Asteroid;57800;1.49;0.3768;367.765;3.428.296;1.649.582;1.694.364;0.9285;2.05;1.82;0.0517;25;18.5
288914 (2004 SX);Amor Asteroid;57800;17.649;0.3272;152.842;258.502;1.786.267;62.06;11.874;2.34;2.34;0.3228;33;19.1
289227 (2004 XY60);Aten Asteroid;57800;0.6403;0.7967;237.653;1.308.371;122.628;1.341.437;0.1302;1.15;0.51;0.194;29;18.9
289315 (2005 AN26);Apollo Asteroid (Hazard);57800;23.244;0.6364;49.271;2.081.689;1.759.131;1.782.685;0.8452;3.8;3.54;0.0376;31;18.5
290772 (2005 VC);Apollo Asteroid (Hazard);57800;20.835;0.5945;44.823;2.902.194;2.280.022;1.902.233;0.8448;3.32;3.01;0.0194;33;17.6
292165 (2006 SC6);Apollo Asteroid;57800;12.029;0.5806;302.584;3.555.275;1.529.995;2.180.865;0.5045;1.9;1.32;0.4656;54;18.1
292220 (2006 SU49);Apollo Asteroid (Hazard);57800;14.126;0.312;25.186;1.989.784;3.031.439;3.098.261;0.9718;1.85;1.68;0.0002;57;19.5
293054 (2006 WP127);Apollo Asteroid;57800;25.323;0.7673;60.807;229.318;1.783.111;1.569.097;0.5893;4.48;4.03;0.092;66;18.4
293726 (2007 RQ17);Apollo Asteroid;57800;15.798;0.3696;20.087;3.020.884;3.506.146;2.917.948;0.9959;2.16;1.99;0.0209;37;22.6
294739 (2008 CM);Apollo Asteroid (Hazard);57800;15.661;0.4084;360.031;1.306.407;2.795.834;2.286.301;0.9266;2.21;1.96;0.0441;183;17.2
296318 (2009 EN2);Apollo Asteroid;57800;1.659;0.5247;473.575;1.380.909;1.448.364;2.291.319;0.7886;2.53;2.14;0.1388;27;18.5
297274 (1996 SK);Apollo Asteroid (Hazard);57800;24.336;0.7946;19.638;2.843.345;1.974.268;1.093.598;0.4999;4.37;3.8;0.0043;77;16.8
297300 (1998 SC15);Apollo Asteroid (Hazard);57800;12.729;0.4145;160.822;2.774.159;198.747;216.105;0.7453;1.8;1.44;0.0005;62;19.2
297418 (2000 SP43);Aten Asteroid (Hazard);57800;0.8114;0.467;103.496;2.243.856;3.505.892;255.088;0.4325;1.19;0.73;0.0185;118;18.5
299582 (2006 GQ2);Apollo Asteroid;57800;12.905;0.4658;258.424;644.886;13.932;2.016.974;0.6894;1.89;1.47;0.1248;49;18
301011 (2008 JO);Apollo Asteroid;57800;15.088;0.5452;53.664;1.947.465;2.769.051;2.998.664;0.6862;2.33;1.85;0.0858;41;18.4
301844 (1990 UA);Apollo Asteroid (Hazard);57800;1.642;0.5261;0.9285;202.594;1.042.593;2.160.377;0.7781;2.51;2.1;0.0122;39;19.6
302010 (2000 SH8);Apollo Asteroid;57800;16.882;0.4894;563.775;862.801;18.844;135.797;0.8621;2.51;2.19;0.2076;31;18.7
302156 (2001 SF286);Apollo Asteroid;57800;12.683;0.6454;295.087;189.934;2.319.758;3.281.457;0.4498;2.09;1.43;0.3549;33;18.9
302169 (2001 TD45);Aten Asteroid (Hazard);57800;0.7968;0.7775;253.976;2.124.317;302.825;2.793.638;0.1773;1.42;0.71;0.0267;21;19.9
302311 (2002 AA);Apollo Asteroid;57800;11.478;0.3023;112.713;646.407;3.022.307;1.651.746;0.8008;1.49;1.23;0.0569;53;19.3
302523 (2002 KH3);Amor Asteroid;57800;26.787;0.5838;10.241;351.305;2.590.489;1.134.096;1.115;4.24;4.38;0.1307;78;17.5
302591 (2002 QE7);Amor Asteroid;57800;14.698;0.1812;121.111;884.416;2.444.957;400.293;12.034;1.74;1.78;0.2921;43;19.7
302800 (2003 AA);Amor Asteroid;57800;17.276;0.2801;234.928;3.257.065;1.119.526;949.494;12.438;2.21;2.27;0.2957;30;19.4
302830 (2003 FB);Apollo Asteroid;57800;14.732;0.4422;16.976;461.256;386.854;321.072;0.8218;2.12;1.79;0.0653;48;18.8
302831 (2003 FH);Apollo Asteroid (Hazard);57800;13.891;0.5406;257.995;2.743.494;241.605;1.193.661;0.6382;2.14;1.64;0.0133;53;19
302871 (2003 HA22);Amor Asteroid;57800;18.763;0.3946;16.084;1.634.547;1.218.051;1.031.814;11.359;2.62;2.57;0.1201;46;19.4
303174 (2004 FH11);Amor Asteroid;57800;22.558;0.4466;213.808;880.067;2.036.016;2.631.076;12.484;3.26;3.39;0.4594;181;16.7
303248 (2004 QV16);Apollo Asteroid;57800;17.691;0.5741;285.361;491.923;1.962.558;1.326.957;0.7535;2.78;2.35;0.1131;58;18.1
303250 (2004 RU10);Aten Asteroid;57800;0.904;0.6569;15.909;652.221;1.190.306;3.545.468;0.3101;1.5;0.86;0.1057;36;18.2
303262 (2004 RJ84);Apollo Asteroid;57800;10.948;0.3107;13.234;1.897.529;3.429.667;1.484.446;0.7546;1.43;1.15;0.206;84;18.6
303449 (2005 BE2);Apollo Asteroid;57800;20.154;0.6259;65.763;1.623.853;926.247;201.086;0.7539;3.28;2.86;0.0905;65;18.2
303450 (2005 BY2);Apollo Asteroid (Hazard);57800;12.689;0.3305;72.873;1.301.944;744.848;1.099.161;0.8495;1.69;1.43;0.0406;45;20.5
303933 (2005 VQ);Apollo Asteroid;57800;11.256;0.4888;191.292;1.842.019;544.508;3.025.922;0.5754;1.68;1.19;0.3083;33;19
304088 (2006 HX5);Amor Asteroid;57800;16.428;0.2507;212.393;494.899;380.537;1.488.423;1.231;2.05;2.11;0.3061;31;19.2
304153 (2006 OU10);Amor Asteroid;57800;17.545;0.3497;337.022;1.734.365;3.352.492;307.853;1.141;2.37;2.32;0.1532;26;18
304293 (2006 SQ78);Apollo Asteroid;57800;11.719;0.3391;360.605;329.757;2.081.232;1.766.395;0.7745;1.57;1.27;0.1903;57;18.8
304330 (2006 SX217);Apollo Asteroid (Hazard);57800;14.113;0.31;210.458;1.761.543;326.383;2.471.646;0.9738;1.85;1.68;0.0311;66;18.9
304640 (2006 WW1);Apollo Asteroid;57800;14.179;0.5044;94.033;3.225.128;2.403.964;3.020.134;0.7027;2.13;1.69;0.1181;47;19.1
305090 (2007 VQ4);Amor Asteroid;57800;26.351;0.5157;266.242;100.17;58.766;324.825;12.763;3.99;4.28;0.5142;127;16.2
306367 Nut;Apollo Asteroid;57800;25.315;0.743;37.742;1.528.348;3.462.147;47.956;0.6506;4.41;4.03;0.0528;38;15.7
306383 (1993 VD);Aten Asteroid (Hazard);57800;0.8761;0.5514;20.598;2.537.688;26.159;2.394.896;0.3931;1.36;0.82;0.0169;29;21.5
306431 (1998 SR49);Amor Asteroid;57800;24.792;0.5335;29.165;545.824;213.712;2.433.083;11.565;3.8;3.9;0.2993;25;17.3
306462 (1999 RC32);Amor Asteroid;57800;18.387;0.4316;309.655;82.784;352.375;3.251.033;1.045;2.63;2.49;0.3183;68;18.5
306523 (1999 XR35);Amor Asteroid;57800;2.367;0.5122;187.136;820.175;602.389;2.266.601;11.547;3.58;3.64;0.3582;48;17.9
306595 (2000 GG147);Amor Asteroid;57800;17.902;0.3562;284.864;1.000.165;316.693;390.552;11.526;2.43;2.4;0.3764;33;18.9
307005 (2001 XP1);Apollo Asteroid (Hazard);57800;2.891;0.7528;392.155;2.463.785;268.066;136.836;0.7146;5.07;4.92;0.0162;28;18
307070 (2002 AV31);Apollo Asteroid;57800;1.31;0.2495;149.762;2.673.452;1.193.219;857.401;0.9832;1.64;1.5;0.1435;73;20.7
307161 (2002 DY3);Amor Asteroid;57800;14.917;0.2743;241.659;1.379.869;3.549.721;860.086;10.825;1.9;1.82;0.1431;49;18.4
307493 (2002 XP90);Apollo Asteroid;57800;20.786;0.5874;231.161;3.241.375;78.601;2.763.102;0.8577;3.3;3;0.0524;38;18.6
307564 (2003 FQ6);Amor Asteroid;57800;13.712;0.1316;36.195;2.335.727;866.023;1.137.495;11.907;1.55;1.61;0.1851;39;20.7
307918 (2004 EU9);Aten Asteroid;57800;0.8804;0.5053;285.867;2.024.056;1.611.071;3.577.287;0.4355;1.33;0.83;0.1678;67;18.9
308041 (2004 TN);Apollo Asteroid;57800;14.282;0.4358;140.456;1.599.326;171.572;3.177.372;0.8058;2.05;1.71;0.1563;45;18.9
308043 (2004 TH10);Apollo Asteroid;57800;12.504;0.8288;142.961;2.665.069;2.714.825;2.232.795;0.214;2.29;1.4;0.1715;50;18.6
308127 (2004 XM130);Amor Asteroid;57800;23.277;0.4638;281.322;1.900.502;3.092.058;1.522.024;1.248;3.41;3.55;0.2672;38;18
308242 (2005 GO21);Aten Asteroid (Hazard);57800;0.7532;0.34;249.268;1.566.228;2.726.949;2.625.663;0.4971;1.01;0.65;0.0436;74;16.5
308635 (2005 YU55);Apollo Asteroid (Hazard);57800;11.571;0.4305;0.3404;2.735.791;359.279;1.319.252;0.659;1.66;1.24;0.0005;124;21.9
308899 (2006 SL198);Amor Asteroid;57800;17.996;0.3739;165.573;2.130.665;1.732.744;917.523;11.267;2.47;2.41;0.1592;33;18.3
309203 (2007 GG);Amor Asteroid;57800;26.555;0.5581;52.881;2.995.384;1.371.977;1.135.779;11.734;4.14;4.33;0.2074;47;17.7
309214 (2007 LL);Aten Asteroid;57800;0.9806;0.1741;100.534;2.114.658;2.470.818;1.345.472;0.8099;1.15;0.97;0.084;78;20.4
309662 (2008 EE);Aten Asteroid;57800;0.9813;0.212;161.554;3.324.251;3.435.868;2.754.784;0.7733;1.19;0.97;0.1375;79;19.8
309728 (2008 JF);Amor Asteroid;57800;19.074;0.3929;198.005;2.358.355;906.713;637.492;1.158;2.66;2.63;0.2444;44;18.1
310402 (1999 EE5);Amor Asteroid;57800;16.691;0.2816;309.951;1.929.701;3.554.964;1.025.078;11.991;2.14;2.16;0.2095;33;18.5
310442 (2000 CH59);Aten Asteroid (Hazard);57800;0.863;0.4233;32.672;1.092.563;2.139.413;242.996;0.4977;1.23;0.8;0.0231;80;19.9
310560 (2001 QL142);Apollo Asteroid (Hazard);57800;10.492;0.499;266.143;720.759;1.655.992;2.203.548;0.5257;1.57;1.07;0.0472;74;17.8
310737 (2002 QG24);Amor Asteroid;57800;22.862;0.4897;56.836;1.089.675;1.329.876;1.083.774;11.668;3.41;3.46;0.1837;31;17.8
310842 (2003 AK18);Aten Asteroid;57800;0.8766;0.3841;7.403;237.904;3.016.634;1.834.977;0.5399;1.21;0.82;0.0567;82;19.7
311044 (2004 BB103);Apollo Asteroid (Hazard);57800;19.074;0.6219;558.624;714.973;271.114;44.383;0.7212;3.09;2.63;0.0336;33;17.1
311066 (2004 DC);Apollo Asteroid (Hazard);57800;16.337;0.3996;194.501;1.562.099;749.488;547.293;0.9809;2.29;2.09;0.0087;91;18.1
311321 (2005 NP1);Amor Asteroid;57800;18.269;0.2967;346.984;307.516;2.750.111;2.793.126;12.848;2.37;2.47;0.3702;42;18.6
311554 (2006 BQ147);Aten Asteroid;57800;0.82;0.4221;243.838;1.532.014;1.467.986;1.077.885;0.4739;1.17;0.74;0.0705;46;18.7
311555 (2006 BA148);Apollo Asteroid;57800;1.631;0.6142;157.698;26.036;3.276.392;203.955;0.6293;2.63;2.08;0.2349;34;18.4
311925 (2007 BF72);Amor Asteroid;57800;14.328;0.2157;41.046;3.037.554;494.021;777.992;11.237;1.74;1.72;0.1349;35;19.7
312070 (2007 TA19);Aten Asteroid (Hazard);57800;0.9541;0.5095;226.302;580.189;1.812.118;948.035;0.468;1.44;0.93;0.0188;32;19.4
312473 (2008 SX245);Amor Asteroid;57800;1.993;0.4582;118.254;292.938;2.090.275;2.843.161;10.799;2.91;2.81;0.1868;76;18.4
312942 (1995 EK1);Apollo Asteroid;57800;22.634;0.7765;90.637;2.997.328;3.527.018;1.335.498;0.5058;4.02;3.41;0.059;68;17.3
312956 (1997 CZ3);Apollo Asteroid;57800;14.051;0.541;66.186;335.401;3.142.645;97.246;0.645;2.17;1.67;0.0956;35;19.5
313276 (2002 AX1);Aten Asteroid;57800;0.8799;0.5417;330.005;253.524;2.947.079;2.086.112;0.4033;1.36;0.83;0.16;39;19.7
313538 (2002 YB12);Apollo Asteroid;57800;1.687;0.5516;14.016;3.059.422;2.711.355;1.008.697;0.7565;2.62;2.19;0.072;64;18.5
313548 (2003 BL1);Amor Asteroid;57800;17.123;0.3199;224.554;1.106.322;3.241.559;1.203.747;11.645;2.26;2.24;0.3215;43;19.3
313552 (2003 BX33);Apollo Asteroid;57800;11.821;0.4228;79.214;2.212.045;1.432.209;554.213;0.6823;1.68;1.29;0.0979;39;20.9
313809 (2004 BH41);Apollo Asteroid;57800;11.949;0.5002;304.475;2.003.545;1.232.131;134.427;0.5972;1.79;1.31;0.3935;37;19.4
314079 (2005 CV25);Apollo Asteroid;57800;1.257;0.3109;238.735;3.573.864;3.267.205;49.058;0.8661;1.65;1.41;0.1444;28;19.7
314082 Dryope;Apollo Asteroid (Hazard);57800;22.377;0.5748;161.401;1.393.166;1.168.262;1.678.189;0.9514;3.52;3.35;0.0205;54;17.5
314212 (2005 NJ1);Apollo Asteroid (Hazard);57800;21.325;0.6514;64.653;824.314;3.163.434;239.475;0.7433;3.52;3.11;0.0225;44;18.5
315020 (2007 BG49);Amor Asteroid;57800;18.437;0.3209;78.949;2.814.923;3.328.572;2.725.504;1.252;2.44;2.5;0.2809;39;18.7
315098 (2007 EX);Aten Asteroid;57800;0.8715;0.4176;186.916;788.466;2.974.705;1.929.631;0.5076;1.24;0.81;0.1243;50;16.9
315508 (2008 AB31);Amor Asteroid;57800;16.021;0.3205;300.187;2.556.145;3.030.472;1.353.065;10.887;2.12;2.03;0.2938;30;20.2
316695 (1996 TE9);Amor Asteroid;57800;17.935;0.326;216.392;38.711;139.058;168.381;12.089;2.38;2.4;0.211;38;18.8
