Object Name;Object Classification;Epoch (TDB);Orbit Axis (AU);Orbit Eccentricity;Orbit Inclination (deg);Perihelion Argument (deg);Node Longitude (deg);Mean Anomoly (deg);Perihelion Distance (AU);Aphelion Distance (AU);Orbital Period (yr);Minimum Orbit Intersection Distance (AU);Orbital Reference;Asteroid Magnitude
(2014 UY56);Apollo Asteroid;56958;19.427;0.5447;5.505;2.972.353;336.903;18.124;0.8846;3;2.71;0.0244;3;26.3
(2014 UZ56);Amor Asteroid;57800;20.685;0.4917;19.343;214.165;434.265;2.694.707;10.515;3.09;2.97;0.0662;10;25.5
(2014 UA57);Apollo Asteroid;57800;21.793;0.5362;15.983;906.792;322.508;2.530.528;10.107;3.35;3.22;0.0357;2;25.9
(2014 UD57);Apollo Asteroid;57800;1.366;0.3502;0.6542;1.196.269;2.141.416;1.898.205;0.8876;1.84;1.6;0.0012;12;25.8
(2014 UE57);Amor Asteroid;57800;2.843;0.5746;146.485;3.581.545;318.553;1.729.598;12.093;4.48;4.79;0.2156;10;22
(2014 UG57);Amor Asteroid;57800;1.634;0.3659;114.078;596.161;299.494;10.792;10.362;2.23;2.09;0.1322;16;22.9
(2014 UH57);Apollo Asteroid;57800;21.842;0.5375;11.752;1.847.801;2.112.416;2.564.858;10.101;3.36;3.23;0.0175;4;27.6
(2014 UJ57);Apollo Asteroid;57800;18.674;0.4602;133.786;3.177.954;356.824;3.395.933;1.008;2.73;2.55;0.0757;9;23.8
(2014 UV57);Amor Asteroid;57800;28.182;0.6357;21.523;271.788;27.374;1.714.394;10.268;4.61;4.73;0.0417;9;25.6
(2014 UW57);Apollo Asteroid;57800;13.847;0.2741;20.482;291.007;429.624;1.280.388;10.052;1.76;1.63;0.0247;6;26.4
(2014 UX57);Apollo Asteroid;57800;12.718;0.3292;35.344;730.452;356.242;1.776.066;0.8531;1.69;1.43;0.0095;7;26.4
(2014 UY57);Apollo Asteroid;57800;23.481;0.5825;0.2113;3.001.803;639.965;2.366.329;0.9803;3.72;3.6;0.0025;6;27.2
(2014 UZ57);Apollo Asteroid;56956;18.323;0.5908;266.792;844.979;334.892;3.359.185;0.7497;2.91;2.48;0.0849;2;24.9
(2014 UA58);Apollo Asteroid;56956;20.061;0.5401;78.191;2.308.364;2.110.136;3.464.629;0.9227;3.09;2.84;0.0288;2;26.6
(2014 UB58);Amor Asteroid;56956;14.208;0.2749;275.461;1.359.779;2.118.848;259.497;10.302;1.81;1.69;0.0957;2;24.2
(2014 UC58);Amor Asteroid;57800;12.746;0.1225;257.362;3.332.302;342.426;240.127;11.185;1.43;1.44;0.1374;8;23
(2014 UK114);Amor Asteroid;57800;25.174;0.5536;10.185;3.275.652;658.309;2.076.026;11.239;3.91;3.99;0.131;5;24.8
(2014 UM114);Apollo Asteroid;56956;18.046;0.4396;55.767;1.474.372;2.062.093;142.437;10.113;2.6;2.42;0.0359;2;25.5
(2014 UN114);Aten Asteroid;57800;0.8973;0.16;3.414;386.293;2.038.311;394.982;0.7537;1.04;0.85;0.0015;28;24.5
(2014 UQ114);Apollo Asteroid;56958;11.692;0.7708;87.122;3.161.949;2.217.503;3.122.878;0.268;2.07;1.26;0.0095;12;22.5
(2014 UR114);Apollo Asteroid;57800;21.439;0.6639;156.552;1.739.489;3.396.246;2.300.409;0.7205;3.57;3.14;0.2337;24;18.8
(2014 UC115);Amor Asteroid;57800;20.988;0.4761;12.969;2.654.224;1.740.395;2.577.282;10.996;3.1;3.04;0.1178;16;23.7
(2014 UD115);Amor Asteroid;57800;13.568;0.2476;98.058;245.999;31.309;1.512.674;10.209;1.69;1.58;0.0431;11;24.3
(2014 UE115);Amor Asteroid;57800;18.101;0.4206;127.293;2.921.824;411.933;43.999;10.487;2.57;2.44;0.166;11;22.4
(2014 UF115);Amor Asteroid;57800;21.745;0.4494;204.911;2.472.241;2.150.219;2.379.842;11.973;3.15;3.21;0.3518;27;20.5
(2014 UG115);Apollo Asteroid;57800;14.134;0.2829;62.981;330.163;296.544;1.528.082;10.136;1.81;1.68;0.0355;3;26.6
(2014 UH115);Amor Asteroid;56962;14.858;0.2197;147.338;1.958.758;2.154.375;351.228;11.593;1.81;1.81;0.1724;4;24.2
(2014 UJ115);Apollo Asteroid;56957;19.204;0.5469;35.695;1.185.224;2.188.044;156.738;0.8701;2.97;2.66;0.0122;2;26.5
(2014 UK115);Amor Asteroid;56957;14.021;0.2235;220.286;1.891.845;2.130.391;355.181;10.888;1.72;1.66;0.0972;3;24.5
(2014 UL115);Apollo Asteroid;57800;18.357;0.4822;41.361;700.771;238.394;314.191;0.9506;2.72;2.49;0.0462;6;24.2
(2014 UM115);Amor Asteroid;57800;15.226;0.3087;43.064;1.427.879;2.234.664;973.425;10.525;1.99;1.88;0.0679;8;24
(2014 US115);Apollo Asteroid;57800;10.684;0.2357;123.094;942.122;377.357;320.842;0.8166;1.32;1.1;0.0104;9;24.6
(2014 UV115);Apollo Asteroid;56959;11.276;0.635;3.332;3.563.846;1.701.979;3.091.388;0.4116;1.84;1.2;0.0477;7;22.7
(2014 UR116);Apollo Asteroid (Hazard);57800;20.702;0.7272;65.743;2.868.024;60.015;295.845;0.5647;3.58;2.98;0.0289;24;19.7
(2014 UT116);Amor Asteroid;56957;16.308;0.3674;27.981;1.001.632;2.013.636;470.543;10.316;2.23;2.08;0.2557;2;21.3
(2014 UU116);Apollo Asteroid;57800;16.543;0.3985;184.433;192.975;344.103;222.254;0.9951;2.31;2.13;0.018;3;26.2
(2014 UV116);Aten Asteroid;56960;0.9181;0.7808;424.025;2.116.048;369.526;565.728;0.2012;1.64;0.88;0.0356;8;23.6
(2014 UX116);Amor Asteroid;57800;15.567;0.2991;57.169;3.434.618;321.122;774.898;10.911;2.02;1.94;0.0974;7;24.8
(2014 UZ116);Amor Asteroid;57800;21.383;0.4542;6.696;2.656.215;796.935;2.805.496;11.671;3.11;3.13;0.2036;12;20.9
(2014 UH175);Amor Asteroid;57800;16.844;0.3923;207.174;2.539.561;422.882;661.792;10.237;2.35;2.19;0.1962;12;20.4
(2014 UJ175);Amor Asteroid;57800;15.343;0.2803;67.433;3.028.703;492.757;100.471;11.043;1.96;1.9;0.1394;5;24.3
(2014 UK175);Apollo Asteroid;57800;1.171;0.2093;51.775;2.968.583;359.259;3.369.745;0.9259;1.42;1.27;0.0137;3;27.1
(2014 UL175);Apollo Asteroid;56960;11.448;0.3069;138.812;2.759.394;319.313;539.091;0.7935;1.5;1.22;0.0065;2;26.5
(2014 UM175);Apollo Asteroid;57800;16.858;0.4232;125.381;1.242.174;2.191.214;395.323;0.9724;2.4;2.19;0.0779;9;23.6
(2014 UY175);Amor Asteroid;57800;22.975;0.4472;117.239;3.175.662;233.812;2.580.073;1.27;3.33;3.48;0.2979;2;22.2
(2014 UZ175);Apollo Asteroid;57800;13.268;0.2821;35.856;143.89;2.069.882;2.072.276;0.9525;1.7;1.53;0.0001;3;27.9
(2014 UA176);Apollo Asteroid;57800;19.125;0.5097;49.293;325.455;465.149;3.001.901;0.9377;2.89;2.64;0.0002;7;26.7
(2014 UB176);Amor Asteroid;57800;17.973;0.3632;213.408;2.667.567;208.511;3.029.674;11.446;2.45;2.41;0.3708;6;21.7
(2014 UC176);Amor Asteroid;57800;21.662;0.4719;128.998;321.007;322.307;2.479.515;11.441;3.19;3.19;0.1816;8;22.3
(2014 UD176);Apollo Asteroid;57800;11.846;0.4304;84.839;2.659.043;289.491;3.335.283;0.6748;1.69;1.29;0.0005;10;24.8
(2014 UE176);Amor Asteroid;57800;25.048;0.571;34.627;1.316.228;2.525.088;2.111.446;10.746;3.94;3.96;0.0918;11;23.4
(2014 UF176);Amor Asteroid;57800;26.143;0.5219;9.948;1.504.673;1.752.871;2.221.072;12.499;3.98;4.23;0.2545;5;20.3
(2014 UG176);Apollo Asteroid;56960;27.016;0.7099;163.028;155.697;877.035;3.514.558;0.7836;4.62;4.44;0.1602;2;21.5
(2014 UL191);Apollo Asteroid;57800;17.559;0.6493;20.695;743.606;2.323.876;165.428;0.6157;2.9;2.33;0.0093;4;24.4
(2014 UP191);Apollo Asteroid;57800;14.109;0.2892;11.644;2.002.474;2.126.512;1.241.302;10.029;1.82;1.68;0.0228;9;23.2
(2014 UZ191);Apollo Asteroid;57800;10.971;0.3451;248.268;1.601.908;440.973;2.011.111;0.7185;1.48;1.15;0.2742;8;21.4
(2014 UA192);Amor Asteroid;57800;2.167;0.4015;58.026;2.587.434;449.157;312.634;1.297;3.04;3.19;0.304;11;19.2
(2014 UB192);Amor Asteroid;57800;22.381;0.4567;96.975;35.097;577.765;2.400.038;1.216;3.26;3.35;0.2292;12;22.7
(2014 UC192);Apollo Asteroid;57800;14.067;0.3623;116.597;3.045.119;349.716;1.618.237;0.8971;1.92;1.67;0.0131;9;23.6
(2014 UD192);Apollo Asteroid;57800;18.484;0.577;11.004;2.204.853;250.852;308.723;0.7818;2.91;2.51;0.0078;5;25.9
(2014 UE192);Amor Asteroid;57800;17.399;0.3556;17.795;1.179.789;2.701.465;40.038;11.212;2.36;2.3;0.1298;8;24.1
(2014 UF192);Apollo Asteroid;56962;15.842;0.4562;77.491;791.987;297.841;3.331.534;0.8614;2.31;1.99;0.053;3;24.5
(2014 UG192);Apollo Asteroid;57800;16.145;0.4717;141.853;2.847.725;301.722;760.336;0.853;2.38;2.05;0.0642;7;23.4
(2014 UJ192);Amor Asteroid;57800;13.609;0.0695;156.222;839.626;2.338.848;2.337.597;12.664;1.46;1.59;0.3181;9;21.6
(2014 UL192);Amor Asteroid;57800;13.788;0.2282;54.572;244.933;383.939;1.348.847;10.642;1.69;1.62;0.0825;7;25.5
